Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2018-07-10,"Spring, Summer, Fall, Winter... and Spring",2003,https://letterboxd.com/cindyshi/film/spring-summer-fall-winter-and-spring/,3.5,,mubi,2018-07-09
2018-07-11,The Birds,1963,https://letterboxd.com/cindyshi/film/the-birds/,4,,rio,2018-07-10
2018-07-14,Crazy Rich Asians,2018,https://letterboxd.com/cindyshi/film/crazy-rich-asians/,4,,"viff, marine drive",2018-07-11
2018-07-13,Emergency Kisses,1989,https://letterboxd.com/cindyshi/film/emergency-kisses/,3.5,,"cinematheque, 35mm",2018-07-12
2018-07-15,Gaga: Five Foot Two,2017,https://letterboxd.com/cindyshi/film/gaga-five-foot-two/,3.5,,netflix,2018-07-14
2018-07-16,2001: A Space Odyssey,1968,https://letterboxd.com/cindyshi/film/2001-a-space-odyssey/,5,,"park, 70mm, cineplex",2018-07-15
2018-07-16,Swiss Army Man,2016,https://letterboxd.com/cindyshi/film/swiss-army-man/,3.5,,netflix,2018-07-15
2018-07-19,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://letterboxd.com/cindyshi/film/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb/,5,,rio,2018-07-18
2018-07-20,Puzzle,2018,https://letterboxd.com/cindyshi/film/puzzle-2018/,3,,"viff, vancity",2018-07-19
2018-07-20,Curse of the Golden Flower,2006,https://letterboxd.com/cindyshi/film/curse-of-the-golden-flower/,2.5,Yes,mubi,2018-07-19
2018-07-21,The Inner Scar,1972,https://letterboxd.com/cindyshi/film/the-inner-scar/,1,,"cinematheque, 35mm",2018-07-20
2018-07-21,The Virgin's Bed,1969,https://letterboxd.com/cindyshi/film/the-virgins-bed/,0.5,,"cinematheque, 35mm",2018-07-20
2018-07-22,Whitney,2018,https://letterboxd.com/cindyshi/film/whitney/,1,,"cineplex, international village",2018-07-21
2018-07-22,Mamma Mia! Here We Go Again,2018,https://letterboxd.com/cindyshi/film/mamma-mia-here-we-go-again/,4,,"cineplex, international village",2018-07-21
2018-07-24,Mission: Impossible,1996,https://letterboxd.com/cindyshi/film/mission-impossible/,2.5,,,2018-07-22
2018-07-24,"Don't Worry, He Won't Get Far on Foot",2018,https://letterboxd.com/cindyshi/film/dont-worry-he-wont-get-far-on-foot/,2.5,,"cineplex, fifth ave",2018-07-23
2018-07-25,Three Identical Strangers,2018,https://letterboxd.com/cindyshi/film/three-identical-strangers/,3.5,,"cineplex, fifth ave",2018-07-24
2018-07-27,Mission: Impossible - Fallout,2018,https://letterboxd.com/cindyshi/film/mission-impossible-fallout/,4,,"3d, cineplex, marine drive",2018-07-26
2018-07-28,Eighth Grade,2018,https://letterboxd.com/cindyshi/film/eighth-grade/,4.5,,"cineplex, fifth ave",2018-07-27
2018-07-29,The Last Emperor,1987,https://letterboxd.com/cindyshi/film/the-last-emperor/,5,,,2018-07-28
2018-07-30,Ryuichi Sakamoto: Coda,2017,https://letterboxd.com/cindyshi/film/ryuichi-sakamoto-coda/,4,,"viff, vancity",2018-07-29
2018-07-30,Caravaggio,1986,https://letterboxd.com/cindyshi/film/caravaggio/,3,,mubi,2018-07-29
2018-07-31,Angels Wear White,2017,https://letterboxd.com/cindyshi/film/angels-wear-white/,3,,"viff, vancity",2018-07-30
2018-08-01,Ratatouille,2007,https://letterboxd.com/cindyshi/film/ratatouille/,5,Yes,,2018-07-31
2018-08-03,The Third Murder,2017,https://letterboxd.com/cindyshi/film/the-third-murder/,4.5,,"viff, vancity",2018-08-02
2018-08-04,After the Storm,2016,https://letterboxd.com/cindyshi/film/after-the-storm-2016/,4,,kanopy,2018-08-03
2018-08-05,Tully,2018,https://letterboxd.com/cindyshi/film/tully-2018/1/,4.5,Yes,"cineplex, fifth ave",2018-08-04
2018-08-06,Leto,2018,https://letterboxd.com/cindyshi/film/leto/,2.5,,,2018-08-05
2018-08-06,Toni Erdmann,2016,https://letterboxd.com/cindyshi/film/toni-erdmann/1/,5,Yes,,2018-08-05
2018-08-09,McQueen,2018,https://letterboxd.com/cindyshi/film/mcqueen-2018/,4,,"viff, vancity",2018-08-08
2018-08-09,The Big Sick,2017,https://letterboxd.com/cindyshi/film/the-big-sick/1/,4.5,Yes,,2018-08-09
2018-08-11,1985,2018,https://letterboxd.com/cindyshi/film/1985-2018/,4,,"vqff18, sfu, q&a",2018-08-10
2018-08-13,Summer 1993,2017,https://letterboxd.com/cindyshi/film/summer-1993/,5,,"viff, vancity",2018-08-12
2018-08-15,"Paris, Texas",1984,https://letterboxd.com/cindyshi/film/paris-texas/,4.5,,rio,2018-08-14
2018-08-16,Mommy,2014,https://letterboxd.com/cindyshi/film/mommy-2014/,3.5,,,2018-08-15
2018-08-17,Do the Right Thing,1989,https://letterboxd.com/cindyshi/film/do-the-right-thing/,5,,netflix,2018-08-16
2018-08-18,My Generation,2017,https://letterboxd.com/cindyshi/film/my-generation-2017/,3,,"viff, vancity",2018-08-17
2018-08-18,To All the Boys I've Loved Before,2018,https://letterboxd.com/cindyshi/film/to-all-the-boys-ive-loved-before/,3,,netflix,2018-08-17
2018-08-19,Blindspotting,2018,https://letterboxd.com/cindyshi/film/blindspotting/,2.5,,rio,2018-08-18
2018-08-19,Amour,2012,https://letterboxd.com/cindyshi/film/amour/,5,,,2018-08-18
2018-08-20,The Miseducation of Cameron Post,2018,https://letterboxd.com/cindyshi/film/the-miseducation-of-cameron-post/,3.5,,"vqff18, playhouse",2018-08-19
2018-08-21,BlacKkKlansman,2018,https://letterboxd.com/cindyshi/film/blackkklansman/,4,,"cineplex, fifth ave",2018-08-20
2018-08-23,La La Land,2016,https://letterboxd.com/cindyshi/film/la-la-land/,4,Yes,outdoor,2018-08-22
2018-08-24,The Young Girls of Rochefort,1967,https://letterboxd.com/cindyshi/film/the-young-girls-of-rochefort/,5,,kanopy,2018-08-23
2018-08-25,Support the Girls,2018,https://letterboxd.com/cindyshi/film/support-the-girls/,3,,viff,2018-08-24
2018-08-25,Eternal Sunshine of the Spotless Mind,2004,https://letterboxd.com/cindyshi/film/eternal-sunshine-of-the-spotless-mind/,4,,netflix,2018-08-24
2018-08-26,The Passenger,1975,https://letterboxd.com/cindyshi/film/the-passenger/,2.5,,mubi,2018-08-25
2018-08-27,In the Mood for Love,2000,https://letterboxd.com/cindyshi/film/in-the-mood-for-love/,5,,kanopy,2018-08-26
2018-08-30,Father of My Children,2009,https://letterboxd.com/cindyshi/film/father-of-my-children/,3,,mubi,2018-08-29
2018-09-02,Searching,2018,https://letterboxd.com/cindyshi/film/searching-2018/,4.5,,"cineplex, scotiabank",2018-09-01
2018-09-02,Life of Pi,2012,https://letterboxd.com/cindyshi/film/life-of-pi/,5,,"3d, cineplex, international village",2018-09-01
2018-09-03,Pan's Labyrinth,2006,https://letterboxd.com/cindyshi/film/pans-labyrinth/,4.5,,,2018-09-02
2018-09-03,"Juliet, Naked",2018,https://letterboxd.com/cindyshi/film/juliet-naked/,3.5,,"cineplex, fifth ave",2018-09-02
2018-09-03,Beasts of the Southern Wild,2012,https://letterboxd.com/cindyshi/film/beasts-of-the-southern-wild/,4,,"itunes, rent",2018-09-02
2018-09-04,Ratcatcher,1999,https://letterboxd.com/cindyshi/film/ratcatcher/,4,,,2018-09-03
2018-09-04,We the Animals,2018,https://letterboxd.com/cindyshi/film/we-the-animals/,2.5,,"viff, vancity",2018-09-03
2018-09-04,Still Life,2006,https://letterboxd.com/cindyshi/film/still-life/,4,,mubi,2018-09-04
2018-09-05,Gravity,2013,https://letterboxd.com/cindyshi/film/gravity-2013/,5,Yes,"3d, cineplex, international village",2018-09-04
